callsgn,ptentVtsYr,vyg,comCnt,vslKornNm,vslEngNm,ptentDt,dfptDt,ioprtVtsType,ioprtVtsNm,fcltSpecCd,fcltSpecSubCd,fcltKornNm,updtDt,jobDt
150040,2025,001,001,오성호,OSUNG,20250101140100,20250102000100,3,입항,WAM,02,정박지 02,20250102060105,20250101140100
150040,2025,001,002,오성호,OSUNG,20250101140100,20250102000100,8,양묘,WAM,02,정박지 02,20250102060105,20250101170100
150040,2025,001,003,오성호,OSUNG,20250101140100,20250102000100,4,접안,MDU,05,SK5부두,20250102060105,20250101170100
150040,2025,001,004,오성호,OSUNG,20250101140100,20250102000100,9,출항,MDU,05,SK5부두,20250102060105,20250102000100
150040,2025,002,001,오성호,OSUNG,20250104110100,20250104170100,3,입항,WAM,02,정박지 02,20250104210151,20250104110100
150040,2025,002,002,오성호,OSUNG,20250104110100,20250104170100,8,양묘,WAM,02,정박지 02,20250104210151,20250104110100
150040,2025,002,003,오성호,OSUNG,20250104110100,20250104170100,4,접안,MDU,05,SK5부두,20250104210151,20250104120100
150040,2025,002,004,오성호,OSUNG,20250104110100,20250104170100,9,출항,MDU,05,SK5부두,20250104210151,20250104170100
150040,2025,003,001,오성호,OSUNG,20250106160100,20250108060100,3,입항,WAM,01,정박지 01,20250108080144,20250106160100
150040,2025,003,002,오성호,OSUNG,20250106160100,20250108060100,8,양묘,WAM,01,정박지 01,20250108080144,20250106190100
150040,2025,003,003,오성호,OSUNG,20250106160100,20250108060100,4,접안,MBU,01,SK2부두 01,20250108080144,20250106190100
150040,2025,003,004,오성호,OSUNG,20250106160100,20250108060100,5,이안,MBU,01,SK2부두 01,20250108080144,20250107020100
150040,2025,003,005,오성호,OSUNG,20250106160100,20250108060100,7,투묘,WAM,06,정박지 06,20250108080144,20250107020100
150040,2025,003,006,오성호,OSUNG,20250106160100,20250108060100,8,양묘,WAM,06,정박지 06,20250108080144,20250107080100
150040,2025,003,007,오성호,OSUNG,20250106160100,20250108060100,4,접안,MQP,03,현중해양의장안벽,20250108080144,20250107080100
150040,2025,003,008,오성호,OSUNG,20250106160100,20250108060100,5,이안,MQP,03,현중해양의장안벽,20250108080144,20250107160100
150040,2025,003,009,오성호,OSUNG,20250106160100,20250108060100,7,투묘,WAM,02,정박지 02,20250108080144,20250107160100
150040,2025,003,010,오성호,OSUNG,20250106160100,20250108060100,8,양묘,WAM,02,정박지 02,20250108080144,20250107220100
150040,2025,003,011,오성호,OSUNG,20250106160100,20250108060100,4,접안,MBU,01,SK2부두 01,20250108080144,20250107220100
150040,2025,003,012,오성호,OSUNG,20250106160100,20250108060100,9,출항,MBU,01,SK2부두 01,20250108080144,20250108060100
150040,2025,004,001,오성호,OSUNG,20250108190100,20250109060100,3,입항,WAM,01,정박지 01,20250109070152,20250108190100
150040,2025,004,002,오성호,OSUNG,20250108190100,20250109060100,8,양묘,WAM,01,정박지 01,20250109070152,20250108220100
150040,2025,004,003,오성호,OSUNG,20250108190100,20250109060100,4,접안,MBU,11,SK1부두 11,20250109070152,20250108220100
150040,2025,004,004,오성호,OSUNG,20250108190100,20250109060100,9,출항,MBU,11,SK1부두 11,20250109070152,20250109060100
150040,2025,005,001,오성호,OSUNG,20250109190100,20250111020100,3,입항,WAM,01,정박지 01,20250111060149,20250109190100
150040,2025,005,002,오성호,OSUNG,20250109190100,20250111020100,8,양묘,WAM,01,정박지 01,20250111060149,20250110080100
150040,2025,005,003,오성호,OSUNG,20250109190100,20250111020100,4,접안,MDU,05,SK5부두,20250111060149,20250110080100
150040,2025,005,004,오성호,OSUNG,20250109190100,20250111020100,5,이안,MDU,05,SK5부두,20250111060149,20250110140100
