callsgn,ptentYr,vyg,mmsiNo,imoNo,vslNm,lot,lat,sog,cog,rot,hdgAng,drft,nvgtStts,updtTm
DSQA4,2026,016,441509000,9409376,뉴 챌린지호,129.41456667,35.44475,0,217,0,198,6.8,정박(앵커링),20260825014749
DSQI3,2026,026,441588000,9435870,우림 드라곤 7호,129.35578333,35.45128333,0,165,0,45,5.5,정박(계류),20260825014535
DSQP2,2026,013,441652000,9561112,HANYU EMPIRE,129.44972167,35.45627167,1,240,0,210,4.6,정박(앵커링),20260825014717
D7MJ,2026,032,441022000,9267986,103 효동케미,129.44265,35.45344,0,320,0,220,5.8,정박(앵커링),20260825013738
240030,2026,022,440315020,9324590,스프링 알파,129.38033333,35.49843167,0,170,0,332,6,항해(동력),20260825013042
D7LB,2026,019,440146100,8850827,고려307호,129.35412167,35.45891167,0,204,0,198,0,,20260825014132
5VCZ6,2026,001,671528000,8896819,WEN CHENG,129.44885,35.44778333,0,110,0,215,5.3,정박(앵커링),20260825012815
D7TV,2026,005,441469000,9278703,범영,129.36961667,35.44246667,0,279,0,0,9.5,정박(계류),20260825012758
ONMO,,,205697000,1056783,AALTER(S/T),129.39703333,35.51023667,0,75,0,0,0,,20260824152018
1234567,,,213456789,,CAPITAINERIE DIEPPE,129.40687,35.49097667,0,0,0,0,0,,20260824173316
FNZH,,,228482700,9981439,AL HRAITHI,129.446425,35.52542833,0,333,-.4017626,294,9.3,정박(앵커링),20260820103114
FNZI,,,228482800,9981441,HAZEM BARANYOUSH,129.43800167,35.51024,0,299,0,270,0,정박(계류),20260825014603
9HA6373,,,249752000,9994046,CLEAN BROWNSVILLE,129.50255167,35.55129833,0,287,-.4,187,8.8,정박(앵커링),20260825014938
SKJF,,,266283000,9377509,OBERON,129.39029,35.522885,0,52,0,330,9.7,정박(계류),20260825014257
UANZ,,,273318040,8921418,EKATERINA,129.60608333,35.25968333,4,212,0,0,4.8,항해(동력),20260824202249
UBCG5,,,273342230,8513273,AMBER BALTIC,129.690605,35.45765333,6,171,0,182,4.9,항해(동력),20260825015003
V2EK8,,,305463000,9501277,BBC VIRGINIA,129.38316,35.51676667,0,219,0,277,6.7,정박(계류),20260825014908
C6IP8,,,311001734,1032919,HIBISCUS LEADER,129.39686,35.50578833,0,226,0,0,0,,20260812094533
V3QB7,,,312402000,9644732,MING SHAN,129.58335333,35.310245,9,225,0,225,6.7,항해(동력),20260825013546
V3NI3,,,312430000,8998502,XI CHENG,129.46684333,35.28028833,8,209,0,212,6.1,항해(동력),20260825014908
MEPP3,,,419001468,9285718,SECURITY,129.37,35.22,0,218,0,0,7,정박(앵커링),20260825005107
3E3741,,,352001930,9108506,JI BAO,129.78417833,35.70865833,11,23,0,19,7,항해(동력),20260825015000
3E5041,,,352002735,8599825,율리안 칭다오,129.48602667,35.26596,7,209,0,214,3.8,항해(동력),20260825014936
3E4616,,,352002830,9266956,YUAN CHENG,129.52181667,35.17950333,2,117,4.46,175,17.1,항해(동력),20260825015007
3E7013,,,352004766,9989089,SOUTHERN RESPECT,129.75891,35.39124167,1,38,1.12,292,13.3,항해(동력),20260825015003
3E8506,,,352006023,1100900,DS LUCKY,129.68887167,35.55744667,8,192,0,195,6.3,항해(동력),20260825015002
3E9653,,,352006938,1051094,PIS SUMBA(S/T),129.39695167,35.50710667,0,12,0,193,0,,20260825014650
3E9654,,,352006939,1051082,PIS SUMBAWA(S/T),129.40403167,35.49834333,0,237,0,328,7.4,정박(계류),20260825011927
3E9655,,,352006940,1051094,PIS SUMBA(S/T),129.39694833,35.50707667,0,77,0,193,0,,20260824142221
3E9657,,,352006942,1044924,BELLA THALASSA S/T,129.395555,35.50233833,0,144,0,193,7.7,정박(계류),20260822092450
3ECB4,,,353402000,9796822,NORDIC CALLAO,129.50424667,35.41582667,8,1,0,345,6.2,항해(동력),20260825015005
3FAY2,,,353578000,9518191,YM NAVIGATOR,129.38258167,35.49665,0,316,0,321,11.9,정박(계류),20260825014526
A8OA3,,,353953000,9416094,CARIBBEAN 1,129.39363333,35.51801667,0,73,0,0,7.5,정박(계류),20260819112750
ABCD,,,356000000,1032713,GAS AMPHITRITE-S/T,129.44580667,35.524125,0,296,0,0,0,,20260825014921
3ECG6,,,356248000,9774410,SUN VENUS,129.38785667,35.48643,0,296,0,45,5,정박(계류),20260825012808
WDI5693,,,367711140,9448334,SLNC GOODWILL,129.35278,35.45249667,0,124,0,267,7.2,정박(계류),20260825012529
NBYR,,,369499000,9300609,RICHARD E. BYRD,129.39632333,35.51275,0,0,0,0,7.9,정박(계류),20260825012605
3EZU4,,,372699000,9832028,ZENITH ELITE,129.42010167,35.38676,13,16,0,9,6.1,항해(동력),20260825014926
3EKP7,,,372786000,9392896,SPRING EURO,129.34833333,35.46083333,0,219,0,351,5.8,정박(계류),20260825012444
3FEK7,,,373982000,9857913,SULFUR BRAVE,129.41974167,35.452195,0,298,0,202,5.9,정박(앵커링),20260825014728
BPKY8,,,413375880,9534535,ZI DING XIANG,129.71884667,35.51459333,2,38,0,314,4.4,조종 불가,20260825014913
ATEZ2,,,419002058,9298674,DUBAI GREEN,129.45362,35.40934667,0,165,0,215,7.7,정박(앵커링),20260825014930
002741,,,440000240,9239692,109청룡호,129.370365,35.45047667,6,285,0,245,3.2,,20260825013620
,,,440000342,,KCGFF-01,129.37222833,35.500425,2,19,0,0,0,흘수에 의한 제한,20260822084620
,,,440000444,,DAE SANG 13001,129.37049,35.4195,0,38,0,0,5.5,,20260825014207
962050,,,440001650,,207동성호,129.44216167,35.52435333,0,264,0,0,0,항해(동력),20260825015006
D9XC,,,440001850,,창영5호,129.349625,35.46468667,0,18,0,0,3,항해(동력),20260824172548
,,,440002620,,KCG P09,129.37181833,35.50073667,0,35,0,0,2,항해(동력),20260823102937
333,,,440005130,,YOUNG SAENG HO,129.32844,35.26023,1,38,0,0,0,,20260824042714
319,,,440005320,,7SSANG YOUNG HO,129.25532667,35.26050667,10,293,0,0,0,,20260821121449
962654,,,440005500,,란케슬호,129.44049333,35.52231667,0,182,0,0,0,,20260825014946
1248,,,440006560,,ULSANPILOT7,129.38911167,35.49316167,11,148,0,0,0,,20260825014044
781427,,,440006810,,삼성호,129.36967167,35.42249667,0,236,0,0,4.5,항해(동력),20260825014053
154803,,,440007020,,오션1호,129.35396,35.458335,5,358,0,0,1.8,항해(동력),20260821112111
022936,,,440008720,,진산7호,129.37431167,35.50148,1,55,0,0,0,항해(동력),20260823151426
,,,440010640,,BUYOUNG3HO,129.22981,35.221825,0,125,0,0,0,항해(동력),20260824135130
,,,440011180,,JUNG ILL 1HO,129.36592167,35.44489333,0,0,0,0,0,,20260824102149
,,,440011690,,CHO KAWANG NO.107,129.38558333,35.47698333,0,178,8.75,153,3.8,,20260825014919
300,,,440012020,,DAL HAE,129.25520833,35.26311833,0,190,0,0,0,항해(동력),20260824141624
,,,440013990,,HAE SUNG 1HO,129.29800833,35.27596167,7,279,0,0,0,,20260822100949
161008,,,440014500,9439319,우찬,129.36793333,35.44868333,0,187,0,308,8,정박(계류),20260825013208
,,,440015840,,2 YONG SUNG HO,129.23068333,35.181385,9,9,0,0,0,,20260823115914
1238USS,,,440016770,9917505,울산태화호,129.380495,35.50225,0,8,0,295,3.8,정박(계류),20260825012850
,,,440018510,,BU YEON HO,129.44994167,35.61571167,0,295,0,0,0,,20260824133113
,,,440018980,,ULSAN SOONCHALHO,129.36552667,35.50438667,0,37,0,0,1,,20260825014332
,,,440023890,,JE99BOOYUNGHO,129.51556,35.79704333,8,339,0,0,0,,20260824143108
020391,,,440023930,20391,KOMAR NO1,129.36511833,35.50467667,0,48,0,0,3.2,항해(동력),20260824235325
,,,440027120,,DONG SUNG HO,129.29862167,35.29561,6,239,0,0,0,,20260822074422
,,,440027370,,ULSAN-327,129.37356333,35.50119833,0,66,0,0,0,항해(동력),20260824141639
,,,440027380,,SSANG YONG HO,129.28115,35.25549333,7,279,0,0,0,항해(동력),20260823075447
,,,440027410,,WON YOUNG,129.48564,35.51213167,5,202,0,0,0,,20260825014942
,,,440027430,,DAE YOUNG HO,129.46851,35.62378833,8,254,0,0,0,,20260824110805
DSNA3,2026,086,441269000,9262261,제1한미르호,129.39903333,35.4845,0,261,0,0,6,정박(계류),20260825014308
160064,2026,034,440047230,9396438,제1은희호,129.38984167,35.490315,0,0,0,302,4.5,정박(계류),20260825015003
,,,440032620,,YOUNG JIN HO,129.27992,35.23971333,5,138,0,0,0,,20260823080437
174803,,,440033890,,조광601호,129.38841667,35.50216333,0,353,-1.6070504,176,4.5,항해(동력),20260825014038
,,,440034950,,GANG YANG HO,129.34305667,35.39241833,0,0,0,0,0,,20260822214431
,,,440039510,,EO SUN,129.34951667,35.39189333,9,270,0,0,0,,20260824222329
937385,,,440042810,,해울이306호,129.37366,35.50020833,10,264,0,0,0,,20260819112209
174807,,,440042920,,선진900호,129.38838667,35.50193667,0,180,0,276,4.5,항해(동력),20260825014936
300,,,440044190,,DAE AA HO,129.228885,35.223365,0,211,0,0,0,,20260823051122
1271,,,440047540,,BO RAM HO,129.43706,35.45499333,5,164,0,0,0,항해(동력),20260825013558
403,,,440047690,,KWANG SUNG HO,129.32087667,35.25983333,7,272,0,0,0,,20260823132837
400,,,440047820,,5003 KO RYO HO,129.37009,35.41687,0,68,0,0,0,항해(동력),20260825014123
,,,440047860,,SEUNG JIN HO,129.37723,35.34846667,11,2,0,0,0,,20260823082842
,,,440048020,,HAE GWANG HO,129.450545,35.61778333,0,360,0,0,0,,20260825014852
,,,440048040,,MIN SOO HO,129.35150833,35.23776833,1,291,0,0,0,,20260824004813
,,,440048310,,KEUM SUNG HO,129.41348,35.315875,6,124,0,0,0,,20260825014234
214807,,,440048620,8980567,해성호,129.37053833,35.50058667,0,84,0,0,4.1,항해(동력),20260824210156
500,,,440049870,,EOHANG DONGHAE 3HO,129.47531667,35.69080833,0,200,0,0,0,항해(동력),20260825015004
,,,440050170,,MAN SU HO,129.47945667,35.49092833,13,44,0,0,0,항해(동력),20260825015001
,,,440050560,,1 DAE LIM HO,129.51333833,35.24334,0,316,0,0,0,항해(동력),20260825014958
,,,440051490,,KUN YOUNG HO,129.26410833,35.20928,6,124,0,0,0,항해(동력),20260824100830
1291,,,440051610,,DAE HAN HO,129.45117333,35.61477667,0,0,0,0,0,,20260825015006
,,,440053730,,UN SOO HO,129.274925,35.25705333,8,281,0,0,0,,20260823083450
500-S90,,,440054930,,S-90,129.50593333,35.80862667,1,355,0,0,.1,항해(동력),20260824143615
174812,,,440054950,,해강15호,129.38942,35.502475,0,256,0,281,4.8,항해(동력),20260825014534
,,,440055830,,TAE SUNG HO,129.44983,35.61631333,0,0,0,0,0,,20260825014829
174813,,,440055930,,대성107호,129.36552,35.50367833,2,232,0,0,4.2,항해(동력),20260824123616
582,,,440055940,,DOOLY HO,129.47449833,35.69188167,0,2,0,0,0,항해(동력),20260824114730
,,,440056260,,ILCHUUL HO,129.50908667,35.80646667,0,38,0,0,0,,20260824083256
,,,440057290,,UGA A    HO,129.42673667,35.48490667,0,287,0,0,0,,20260824061222
186204,,,440057340,,대상9호,129.39526667,35.38856833,0,2,0,0,2.2,정박(앵커링),20260825014138
,,,440057490,,SU WON HO,129.51427167,35.700575,7,340,0,0,0,,20260825014917
,,,440057520,,3 YOUNG NAM HO,129.35992333,35.39072333,11,271,0,0,0,,20260824061531
194810,,,440058180,,선진9호,129.38846667,35.50350667,0,336,0,234,1,낚시,20260825015005
028298,,,440058260,,부용5호,129.37919,35.50261667,0,0,0,0,0,항해(동력),20260824161633
170037,,,440058710,9305946,삼표 1,129.62711667,35.85421667,14,12,-.71,9,5.3,항해(동력),20260825015001
,,,440058730,1000000,DURIANGEON 3HO,129.36520333,35.44516,0,85,0,0,1,정박(앵커링),20260819121110
,,,440059430,,TAEWONWON HO,129.50541,35.80512667,3,82,0,0,0,,20260823133202
1205,,,440059460,,DONG MYENG HO,129.36488833,35.296375,1,13,0,0,0,,20260824041829
,,,440059760,,ROYALBRIDGE2,129.24879667,35.213645,5,288,0,0,0,,20260824184545
,,,440061030,,SAMGE1HO,129.427225,35.48436333,5,331,0,0,0,,20260825004629
,,,440064130,,JIN YOUNG,129.50482333,35.80655333,6,282,0,0,0,,20260824145905
,,,440064320,,YU LIM2HO,129.32243167,35.28378333,7,292,0,0,0,,20260824085516
1267,,,440064460,,JIN SAN 102HO,129.37438,35.50133667,5,358,0,0,0,,20260825011929
336HAE,,,440064970,,KCG-S-36,129.20666667,35.18,0,0,0,0,0,,20260825013209
,,,440066640,,305DONG JIN,129.64252,35.84305333,1,18,0,0,0,,20260825014418
1296,,,440068410,,7 DAE WON HO,129.51893667,35.615425,7,84,0,0,0,항해(동력),20260825015006
,,,440068740,,SEOJUNG,129.425145,35.48324,0,0,0,0,0,,20260824130156
,,,440070220,,203 KYEONG PO HO,129.63443667,35.72584167,11,310,0,0,0,,20260825015003
310,,,440070310,,YOUNG IL HO,129.28170333,35.260215,6,264,0,0,0,항해(동력),20260824114130
,,,440071410,,WA RYONG,129.49484667,35.791365,0,0,0,0,0,,20260824194642
