relative_path,epsilon,true_index,true_label,clean_predicted_index,clean_predicted_label,adversarial_predicted_index,adversarial_predicted_label,clean_correct,attack_success,linf
Aircraft Carrier\Aircraft Carrier_1.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,5,DDG,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_10.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_1001.jpeg,0.05,0,Aircraft Carrier,6,Recreational,6,Recreational,False,False,0.050000012
Aircraft Carrier\Aircraft Carrier_1002.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_1003.jpeg,0.05,0,Aircraft Carrier,6,Recreational,6,Recreational,False,False,0.050000012
Aircraft Carrier\Aircraft Carrier_1004.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_1005.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,6,Recreational,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_1006.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_1007.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,6,Recreational,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_1008.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,7,Sailboat,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_1009.jpeg,0.05,0,Aircraft Carrier,6,Recreational,6,Recreational,False,False,0.050000012
Aircraft Carrier\Aircraft Carrier_1010.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,6,Recreational,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_1011.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_1012.jpeg,0.05,0,Aircraft Carrier,6,Recreational,6,Recreational,False,False,0.050000012
Aircraft Carrier\Aircraft Carrier_1013.jpeg,0.05,0,Aircraft Carrier,1,Bulkers,1,Bulkers,False,False,0.050000012
Aircraft Carrier\Aircraft Carrier_1014.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_1015.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_11.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_12.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_13.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_14.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_15.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_16.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,6,Recreational,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_17.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_18.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,1,Bulkers,True,True,0.050000012
Aircraft Carrier\Aircraft Carrier_19.jpeg,0.05,0,Aircraft Carrier,0,Aircraft Carrier,5,DDG,True,True,0.050000012
